+---------------------------------------------------------------------+
|  Log file: pa.characterize.log                                      |
|  Compiler version: 9.7.0                                            |
|  Created on: Mon Mar 18 10:04:18 2024                               |
|  Run ID: d38c234a2b012315                                           |
+---------------------------------------------------------------------+

Program: lldpd.p4

-----------------------------------------------------------------------------------------------------------------------------------------
| Container |  Gress  |                   Name                   | Class |  | P | 0 | 1  | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | D |
|   phv234  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv235  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv236  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv237  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv238  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv239  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv240  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv241  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv242  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv243  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv244  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv245  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv246  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv247  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv248  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv249  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv250  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv251  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv252  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv253  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv254  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv255  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|           |         |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv256  | ingress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |       hdr.ethernet.srcAddr[47:16]        |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv257  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv258  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv259  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv260  |  egress |                                          | OL,SH |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [31:16] |  egress |   hdr.cpu_metadata.origEtherType[15:0]   |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   [31:0]  |  egress |         hdr.lldp.switch_id[31:0]         |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   [15:0]  |  egress |      hdr.cpu_metadata.srcPort[15:0]      |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv261  |  egress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [31:0]  |  egress |        hdr.ethernet.srcAddr[31:0]        |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv262  |  egress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [31:0]  |  egress |        hdr.ethernet.dstAddr[31:0]        |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv263  |  egress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [31:0]  |  egress |     hdr.cpu_metadata.switch_id[31:0]     |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv264  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv265  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv266  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv267  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv268  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv269  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv270  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv271  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv272  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv273  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv274  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv275  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv276  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv277  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv278  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv279  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv280  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv281  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv282  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv283  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv284  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv285  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv286  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv287  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|           |         |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv288  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv289  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv290  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv291  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv292  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv293  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv294  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv295  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv296  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv297  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv298  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv299  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv300  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv301  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv302  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv303  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv304  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv305  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv306  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv307  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv308  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv309  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv310  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv311  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv312  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv313  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv314  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv315  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv316  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv317  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv318  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv319  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|           |         |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv320  | ingress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |        hdr.ethernet.srcAddr[15:0]        |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv321  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv322  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv323  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv324  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv325  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv326  |  egress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress |       hdr.ethernet.etherType[15:0]       |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv327  |  egress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress |       hdr.ethernet.srcAddr[47:32]        |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv328  |  egress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress |       hdr.ethernet.dstAddr[47:32]        |  pkt  |  | W | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv329  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv330  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv331  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv332  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv333  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv334  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv335  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv336  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv337  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv338  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv339  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv340  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv341  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv342  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv343  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv344  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv345  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv346  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv347  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv348  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv349  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv350  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv351  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv352  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv353  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv354  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv355  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv356  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv357  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv358  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv359  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv360  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv361  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv362  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv363  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv364  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv365  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv366  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv367  |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
-----------------------------------------------------------------------------------------------------------------------------------------


Containers used: 27
Containers with data overlayed: 3  (11.11%)
Containers shared: 5  (18.52%)

------------------------
  Legend:
------------------------
   P:     Parsed
   D:     Deparsed
   OL:    Overlay
   SH:    Shared
   pkt:   Packet data
   meta:  Metadata
   imeta: Intrinsic Metadata
   pov:   Packet Occupancy Vector bit
   R:     Read
   W:     Write
   ~:     Field is live


----------------------------------------------------------------------------------------------------------------------------------------
| Direction | Location | Fields Live  | Bits Live | Header Fields Live | Header Bits Live | Metadata Fields Live | Metadata Bits Live |
----------------------------------------------------------------------------------------------------------------------------------------
|  ingress  |  Parser  | 12 (63.16%)  |    235    |    9 (100.00%)     |       232        |      3 (30.00%)      |         3          |
|  ingress  | Stage 0  | 13 (68.42%)  |    267    |    9 (100.00%)     |       232        |      4 (40.00%)      |         35         |
|  ingress  | Stage 1  | 16 (84.21%)  |    275    |    9 (100.00%)     |       232        |      7 (70.00%)      |         43         |
|  ingress  | Stage 2  | 16 (84.21%)  |    269    |    9 (100.00%)     |       232        |      7 (70.00%)      |         37         |
|  ingress  | Stage 3  | 16 (84.21%)  |    298    |    9 (100.00%)     |       232        |      7 (70.00%)      |         66         |
|  ingress  | Stage 4  | 14 (73.68%)  |    260    |    9 (100.00%)     |       232        |      5 (50.00%)      |         28         |
|  ingress  | Stage 5  | 14 (73.68%)  |    260    |    9 (100.00%)     |       232        |      5 (50.00%)      |         28         |
|  ingress  | Stage 6  | 14 (73.68%)  |    260    |    9 (100.00%)     |       232        |      5 (50.00%)      |         28         |
|  ingress  | Stage 7  | 14 (73.68%)  |    260    |    9 (100.00%)     |       232        |      5 (50.00%)      |         28         |
|  ingress  | Stage 8  | 14 (73.68%)  |    260    |    9 (100.00%)     |       232        |      5 (50.00%)      |         28         |
|  ingress  | Stage 9  | 14 (73.68%)  |    260    |    9 (100.00%)     |       232        |      5 (50.00%)      |         28         |
|  ingress  | Stage 10 | 14 (73.68%)  |    260    |    9 (100.00%)     |       232        |      5 (50.00%)      |         28         |
|  ingress  | Stage 11 | 14 (73.68%)  |    260    |    9 (100.00%)     |       232        |      5 (50.00%)      |         28         |
|  ingress  | Deparser | 14 (73.68%)  |    260    |    9 (100.00%)     |       232        |      5 (50.00%)      |         28         |
|           |          |              |           |                    |                  |                      |                    |
|   egress  |  Parser  | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 0  | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 1  | 13 (100.00%) |    244    |    9 (100.00%)     |       232        |     4 (100.00%)      |         12         |
|   egress  | Stage 2  | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 3  | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 4  | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 5  | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 6  | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 7  | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 8  | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 9  | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 10 | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Stage 11 | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
|   egress  | Deparser | 12 (92.31%)  |    235    |    9 (100.00%)     |       232        |      3 (75.00%)      |         3          |
----------------------------------------------------------------------------------------------------------------------------------------




------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Direction | Container |    Parser   |   Stage 0   |   Stage 1   |   Stage 2   |   Stage 3   |   Stage 4   |   Stage 5   |   Stage 6   |   Stage 7   |   Stage 8   |   Stage 9   |   Stage 10  |   Stage 11  |   Deparser  |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ingress  |    phv0   | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) |
|  ingress  |    phv1   |      -      | 1 (32 bits) |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |
|  ingress  |    phv2   | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) |
|  ingress  |    phv3   |      -      |      -      |      -      |      -      | 1 (32 bits) |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |
|           |           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |
|  ingress  |   phv64   |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |
|  ingress  |   phv65   |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  4 (6 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |
|   egress  |   phv80   |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |  1 (8 bits) |
|   egress  |   phv81   |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |  3 (3 bits) |
|           |           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |
|  ingress  |   phv128  | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) | 2 (16 bits) |
|  ingress  |   phv129  | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) |
|  ingress  |   phv130  |      -      |      -      |  1 (9 bits) |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |
|  ingress  |   phv131  | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) |
|  ingress  |   phv132  |      -      |      -      |  1 (6 bits) |  1 (6 bits) |  1 (6 bits) |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |
|  ingress  |   phv133  |      -      |      -      | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) |
|  ingress  |   phv134  |      -      |      -      |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |
|  ingress  |   phv135  | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) |
|   egress  |   phv144  |      -      |      -      |  1 (9 bits) |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |
|   egress  |   phv145  | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) |
|           |           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |
|  ingress  |   phv256  | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) |
|   egress  |   phv260  | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) | 3 (32 bits) |
|   egress  |   phv261  | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) |
|   egress  |   phv262  | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) |
|   egress  |   phv263  | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) |
|           |           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |
|  ingress  |   phv320  | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) |
|   egress  |   phv326  | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) |
|   egress  |   phv327  | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) |
|   egress  |   phv328  | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) | 1 (16 bits) |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

